                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27577,                0.33735,                      1,                0.71271,                 0.0784,                 0.0024,                 0.0024
                      1,                0.25082,                0.33735,                      1,                0.70874,               0.055738,              0.0047383,              0.0047383
                      2,                0.21054,                0.51807,                      1,                0.66814,               0.032912,              0.0069116,              0.0069116
                      3,                0.13716,                0.54217,                      1,                0.61436,              0.0099199,              0.0089199,              0.0089199
                      4,                0.06794,                0.45783,                      1,                0.68207,                0.00868,                0.00868,                0.00868
                      5,                0.06336,                0.54217,                      1,                0.63936,                0.00868,                0.00868,                0.00868
                      6,                0.10565,                0.55422,                      1,                0.64383,                0.00835,                0.00835,                0.00835
                      7,                0.09754,                0.50602,                      1,                 0.6776,                0.00802,                0.00802,                0.00802
                      8,                0.09593,                0.57831,                      1,                0.62876,                0.00769,                0.00769,                0.00769
                      9,                0.06098,                0.63855,                      1,                0.60883,                0.00736,                0.00736,                0.00736
                     10,                0.05121,                0.66265,                      1,                0.57461,                0.00703,                0.00703,                0.00703
                     11,                0.02545,                0.61446,                      1,                0.57629,                 0.0067,                 0.0067,                 0.0067
                     12,                0.01822,                 0.6747,                      1,                  0.576,                0.00637,                0.00637,                0.00637
                     13,                0.01224,                0.61446,                      1,                0.58356,                0.00604,                0.00604,                0.00604
                     14,                0.01068,                0.61446,                      1,                0.58074,                0.00571,                0.00571,                0.00571
                     15,                0.01486,                 0.6747,                      1,                0.56089,                0.00538,                0.00538,                0.00538
                     16,                0.01205,                0.66265,                      1,                0.55527,                0.00505,                0.00505,                0.00505
                     17,                0.00637,                0.63855,                      1,                0.56814,                0.00472,                0.00472,                0.00472
                     18,                0.00469,                0.62651,                      1,                0.57229,                0.00439,                0.00439,                0.00439
                     19,                 0.0066,                0.61446,                      1,                0.56746,                0.00406,                0.00406,                0.00406
                     20,                0.01064,                0.68675,                      1,                0.55487,                0.00373,                0.00373,                0.00373
                     21,                0.00242,                 0.6747,                      1,                0.55664,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.0021,                 0.6506,                      1,                0.56328,                0.00307,                0.00307,                0.00307
                     23,                0.00388,                0.71084,                      1,                0.55266,                0.00274,                0.00274,                0.00274
                     24,                0.00538,                 0.6747,                      1,                0.55471,                0.00241,                0.00241,                0.00241
                     25,                0.00293,                 0.6988,                      1,                0.55397,                0.00208,                0.00208,                0.00208
                     26,                0.00072,                0.66265,                      1,                0.55848,                0.00175,                0.00175,                0.00175
                     27,                0.00299,                 0.6747,                      1,                0.55358,                0.00142,                0.00142,                0.00142
                     28,                0.00655,                0.66265,                      1,                0.56047,                0.00109,                0.00109,                0.00109
                     29,                0.00223,                0.66265,                      1,                 0.5626,                0.00076,                0.00076,                0.00076
