                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27577,                0.33735,                      1,                0.71271,                 0.0784,                 0.0024,                 0.0024
                      1,                0.25084,                0.33735,                      1,                0.70876,               0.055706,               0.004706,               0.004706
                      2,                0.21083,                0.54217,                      1,                0.66815,               0.032814,              0.0068139,              0.0068139
                      3,                0.13842,                0.55422,                      1,                0.62038,              0.0097239,              0.0087239,              0.0087239
                      4,                0.06756,                0.45783,                      1,                0.68608,               0.008416,               0.008416,               0.008416
                      5,                0.05938,                0.57831,                      1,                0.63762,               0.008416,               0.008416,               0.008416
                      6,                0.09639,                0.63855,                      1,                0.58558,                0.00802,                0.00802,                0.00802
                      7,                0.12921,                0.61446,                      1,                 0.6044,               0.007624,               0.007624,               0.007624
                      8,                0.09034,                0.59036,                      1,                0.62035,               0.007228,               0.007228,               0.007228
                      9,                0.05287,                0.54217,                      1,                0.64308,               0.006832,               0.006832,               0.006832
                     10,                0.04319,                0.59036,                      1,                 0.5995,               0.006436,               0.006436,               0.006436
                     11,                0.02644,                0.60241,                      1,                 0.5929,                0.00604,                0.00604,                0.00604
                     12,                0.01865,                0.56627,                      1,                0.61876,               0.005644,               0.005644,               0.005644
                     13,                0.01869,                0.55422,                      1,                0.62371,               0.005248,               0.005248,               0.005248
                     14,                0.01701,                0.60241,                      1,                0.61233,               0.004852,               0.004852,               0.004852
                     15,                0.01814,                0.61446,                      1,                0.59802,               0.004456,               0.004456,               0.004456
                     16,                0.01126,                0.61446,                      1,                0.59346,                0.00406,                0.00406,                0.00406
                     17,                0.00728,                0.61446,                      1,                0.58893,               0.003664,               0.003664,               0.003664
                     18,                0.00333,                0.63855,                      1,                0.59283,               0.003268,               0.003268,               0.003268
                     19,                0.00585,                 0.6506,                      1,                0.58753,               0.002872,               0.002872,               0.002872
                     20,                 0.0089,                 0.6506,                      1,                 0.5901,               0.002476,               0.002476,               0.002476
                     21,                0.00198,                 0.6506,                      1,                0.58925,                0.00208,                0.00208,                0.00208
                     22,                0.00191,                0.63855,                      1,                0.59541,               0.001684,               0.001684,               0.001684
                     23,                0.00365,                0.62651,                      1,                0.59179,               0.001288,               0.001288,               0.001288
                     24,                0.00724,                0.62651,                      1,                0.59133,               0.000892,               0.000892,               0.000892
