                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27577,                0.33735,                      1,                0.71271,                 0.0784,                 0.0024,                 0.0024
                      1,                0.25078,                0.33735,                      1,                0.70872,               0.055779,              0.0047787,              0.0047787
                      2,                0.21018,                0.51807,                      1,                0.66822,               0.033034,              0.0070337,              0.0070337
                      3,                 0.1358,                0.57831,                      1,                0.60608,               0.010165,              0.0091649,              0.0091649
                      4,                0.06938,                0.54217,                      1,                0.65611,                0.00901,                0.00901,                0.00901
                      5,                0.07069,                0.53012,                      1,                0.64824,                0.00901,                0.00901,                0.00901
                      6,                0.14379,                 0.3494,                      1,                0.74425,              0.0087625,              0.0087625,              0.0087625
