                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27577,                0.33735,                      1,                0.71271,                 0.0784,                 0.0024,                 0.0024
                      1,                0.25088,                0.33735,                      1,                0.70879,               0.055657,              0.0046574,              0.0046574
                      2,                0.21127,                0.53012,                      1,                0.66835,               0.032667,              0.0066674,              0.0066674
                      3,                0.14041,                0.54217,                      1,                0.62775,              0.0094298,              0.0084298,              0.0084298
                      4,                0.06678,                0.45783,                      1,                0.65209,                0.00802,                0.00802,                0.00802
                      5,                0.04654,                0.53012,                      1,                0.64133,                0.00802,                0.00802,                0.00802
                      6,                0.06388,                0.56627,                      1,                0.62394,               0.007525,               0.007525,               0.007525
                      7,                0.12113,                0.40964,                      1,                0.71692,                0.00703,                0.00703,                0.00703
                      8,                0.09381,                0.46988,                      1,                 0.7023,               0.006535,               0.006535,               0.006535
                      9,                0.05472,                0.61446,                      1,                0.61035,                0.00604,                0.00604,                0.00604
                     10,                0.05847,                0.66265,                      1,                  0.578,               0.005545,               0.005545,               0.005545
                     11,                0.02878,                 0.6506,                      1,                0.57442,                0.00505,                0.00505,                0.00505
                     12,                0.02735,                0.71084,                      1,                0.55575,               0.004555,               0.004555,               0.004555
                     13,                0.01696,                 0.6988,                      1,                 0.5469,                0.00406,                0.00406,                0.00406
                     14,                0.01658,                 0.6747,                      1,                0.55873,               0.003565,               0.003565,               0.003565
                     15,                0.01207,                0.66265,                      1,                0.56113,                0.00307,                0.00307,                0.00307
                     16,                0.00728,                 0.6988,                      1,                0.55569,               0.002575,               0.002575,               0.002575
                     17,                0.00346,                 0.6988,                      1,                0.55121,                0.00208,                0.00208,                0.00208
                     18,                0.00345,                 0.6988,                      1,                0.55417,               0.001585,               0.001585,               0.001585
                     19,                0.00481,                0.72289,                      1,                0.54842,                0.00109,                0.00109,                0.00109
