                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27577,                0.33735,                      1,                0.71271,                 0.0784,                 0.0024,                 0.0024
                      1,                0.25094,                0.33735,                      1,                0.70884,               0.055577,              0.0045766,              0.0045766
                      2,                0.21203,                0.53012,                      1,                0.66917,               0.032423,              0.0064232,              0.0064232
                      3,                0.14367,                0.51807,                      1,                0.63408,              0.0089398,              0.0079398,              0.0079398
                      4,                0.06784,                0.49398,                      1,                0.65016,                0.00736,                0.00736,                0.00736
                      5,                0.03271,                0.60241,                      1,                0.60441,                0.00736,                0.00736,                0.00736
                      6,                0.04831,                0.39759,                      1,                0.70122,                 0.0067,                 0.0067,                 0.0067
                      7,                0.08958,                0.53012,                      1,                0.64785,                0.00604,                0.00604,                0.00604
                      8,                0.07734,                0.55422,                      1,                0.62905,                0.00538,                0.00538,                0.00538
                      9,                0.07228,                0.61446,                      1,                 0.6043,                0.00472,                0.00472,                0.00472
                     10,                0.04174,                0.59036,                      1,                0.60386,                0.00406,                0.00406,                0.00406
                     11,                0.01932,                0.57831,                      1,                0.60645,                 0.0034,                 0.0034,                 0.0034
                     12,                0.02777,                0.66265,                      1,                0.55859,                0.00274,                0.00274,                0.00274
                     13,                0.01468,                0.63855,                      1,                0.57288,                0.00208,                0.00208,                0.00208
                     14,                0.01658,                 0.6506,                      1,                0.57376,                0.00142,                0.00142,                0.00142
