                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27577,                0.33735,                      1,                0.71271,                 0.0784,                 0.0024,                 0.0024
                      1,                0.25077,                0.33735,                      1,                 0.7087,               0.055803,               0.004803,               0.004803
                      2,                0.20997,                0.50602,                      1,                0.66828,               0.033107,               0.007107,               0.007107
                      3,                0.13513,                0.60241,                      1,                0.60209,               0.010312,              0.0093119,              0.0093119
                      4,                0.07012,                0.48193,                      1,                0.65954,               0.009208,               0.009208,               0.009208
                      5,                0.07563,                0.55422,                      1,                0.64552,               0.009208,               0.009208,               0.009208
                      6,                   0.11,                0.28916,                      1,                0.79555,                0.00901,                0.00901,                0.00901
                      7,                0.12434,                0.49398,                      1,                0.67446,               0.008812,               0.008812,               0.008812
                      8,                0.08117,                0.53012,                      1,                0.65301,               0.008614,               0.008614,               0.008614
                      9,                0.05745,                0.57831,                      1,                0.60972,               0.008416,               0.008416,               0.008416
                     10,                0.04329,                 0.6747,                      1,                0.56336,               0.008218,               0.008218,               0.008218
                     11,                 0.0204,                0.72289,                      1,                0.53616,                0.00802,                0.00802,                0.00802
                     12,                0.02068,                0.73494,                      1,                0.53345,               0.007822,               0.007822,               0.007822
                     13,                0.01447,                0.71084,                      1,                0.53057,               0.007624,               0.007624,               0.007624
                     14,                 0.0175,                0.71084,                      1,                0.53399,               0.007426,               0.007426,               0.007426
                     15,                0.02326,                0.74699,                      1,                0.52861,               0.007228,               0.007228,               0.007228
                     16,                0.00995,                 0.6988,                      1,                0.53483,                0.00703,                0.00703,                0.00703
                     17,                0.01169,                0.75904,                      1,                0.51497,               0.006832,               0.006832,               0.006832
                     18,                 0.0056,                0.74699,                      1,                0.52645,               0.006634,               0.006634,               0.006634
                     19,                0.00723,                0.74699,                      1,                 0.5197,               0.006436,               0.006436,               0.006436
                     20,                 0.0092,                0.73494,                      1,                0.53412,               0.006238,               0.006238,               0.006238
                     21,                0.00512,                0.72289,                      1,                0.52761,                0.00604,                0.00604,                0.00604
                     22,                0.00464,                0.74699,                      1,                0.52629,               0.005842,               0.005842,               0.005842
                     23,                0.00699,                0.75904,                      1,                 0.5193,               0.005644,               0.005644,               0.005644
                     24,                0.00543,                0.75904,                      1,                0.51499,               0.005446,               0.005446,               0.005446
                     25,                0.00279,                0.77108,                      1,                0.51118,               0.005248,               0.005248,               0.005248
                     26,                0.00117,                0.75904,                      1,                0.51303,                0.00505,                0.00505,                0.00505
                     27,                 0.0044,                0.74699,                      1,                0.51821,               0.004852,               0.004852,               0.004852
                     28,                0.01004,                0.68675,                      1,                0.53584,               0.004654,               0.004654,               0.004654
                     29,                 0.0044,                 0.6988,                      1,                0.53987,               0.004456,               0.004456,               0.004456
                     30,                0.00719,                0.72289,                      1,                0.52283,               0.004258,               0.004258,               0.004258
                     31,                0.00541,                0.72289,                      1,                0.52927,                0.00406,                0.00406,                0.00406
                     32,                0.00603,                0.68675,                      1,                0.53911,               0.003862,               0.003862,               0.003862
                     33,                0.00604,                0.73494,                      1,                0.53406,               0.003664,               0.003664,               0.003664
                     34,                0.00627,                0.72289,                      1,                0.53427,               0.003466,               0.003466,               0.003466
                     35,                0.00219,                0.72289,                      1,                0.53586,               0.003268,               0.003268,               0.003268
                     36,                0.00338,                0.71084,                      1,                0.53359,                0.00307,                0.00307,                0.00307
                     37,                0.00228,                0.73494,                      1,                0.52505,               0.002872,               0.002872,               0.002872
                     38,                0.00156,                0.72289,                      1,                0.52378,               0.002674,               0.002674,               0.002674
                     39,                0.00175,                0.71084,                      1,                0.52713,               0.002476,               0.002476,               0.002476
                     40,                0.00064,                0.72289,                      1,                0.52195,               0.002278,               0.002278,               0.002278
                     41,                0.00104,                0.71084,                      1,                0.52039,                0.00208,                0.00208,                0.00208
                     42,                0.00094,                0.73494,                      1,                0.52286,               0.001882,               0.001882,               0.001882
                     43,                 0.0006,                0.72289,                      1,                0.51956,               0.001684,               0.001684,               0.001684
                     44,                0.00068,                0.74699,                      1,                0.51749,               0.001486,               0.001486,               0.001486
                     45,                0.00149,                0.72289,                      1,                0.52273,               0.001288,               0.001288,               0.001288
                     46,                0.00125,                0.72289,                      1,                0.52147,                0.00109,                0.00109,                0.00109
                     47,                0.00018,                 0.6988,                      1,                 0.5229,               0.000892,               0.000892,               0.000892
                     48,                0.00253,                 0.6988,                      1,                0.52478,               0.000694,               0.000694,               0.000694
                     49,                0.00217,                0.72289,                      1,                0.52192,               0.000496,               0.000496,               0.000496
